,GeoID,Homeownership_Rate,Median_Home_Value,Median_Household_Income,Rental_Occupancy_Rate,Vacancy_Rate
0,85003,29.87,577700.0,56672.0,70.13,11.07
1,85004,23.56,365500.0,71250.0,76.44,15.83
2,85006,39.51,376600.0,60742.0,60.49,14.79
3,85007,44.19,447000.0,55833.0,55.81,10.55
4,85008,30.77,323600.0,61369.0,69.23,6.96
5,85009,50.7,215300.0,51615.0,49.3,5.56
6,85012,39.04,701200.0,80242.0,60.96,8.75
7,85013,42.48,476200.0,68895.0,57.52,8.31
8,85014,40.64,447500.0,69995.0,59.36,10.41
9,85015,33.06,312600.0,52585.0,66.94,8.9
10,85016,51.01,508400.0,85085.0,48.99,12.36
11,85017,44.46,242900.0,51737.0,55.54,6.46
12,85018,54.74,805800.0,87637.0,45.26,10.54
13,85019,52.1,255700.0,58767.0,47.9,5.29
14,85020,54.1,400800.0,78412.0,45.9,9.73
15,85021,38.31,433000.0,58481.0,61.69,6.42
16,85022,51.05,385900.0,66601.0,48.95,5.2
17,85023,57.28,359200.0,72442.0,42.72,5.15
18,85024,65.02,430400.0,97759.0,34.98,4.52
20,85027,54.95,316100.0,73255.0,45.05,4.73
21,85028,84.57,583000.0,119436.0,15.43,8.09
22,85029,54.54,307800.0,60384.0,45.46,4.62
23,85031,64.76,240300.0,59641.0,35.24,4.23
24,85032,57.95,387900.0,74331.0,42.05,4.42
25,85033,56.68,245900.0,60749.0,43.32,3.81
26,85034,22.6,397400.0,53545.0,77.4,16.41
27,85035,46.37,244300.0,57790.0,53.63,3.71
28,85037,60.38,290600.0,81919.0,39.62,3.55
29,85040,47.56,294800.0,57890.0,52.44,5.88
30,85041,73.4,310100.0,70555.0,26.6,5.03
31,85042,66.66,353400.0,86837.0,33.34,4.78
32,85043,65.06,288900.0,70051.0,34.94,3.66
33,85044,62.34,437400.0,96374.0,37.66,5.56
34,85045,89.98,590600.0,154300.0,10.02,2.03
35,85048,74.29,538500.0,123198.0,25.71,6.6
36,85050,79.48,564200.0,137389.0,20.52,4.12
37,85051,54.61,288300.0,63665.0,45.39,5.17
38,85053,61.4,329500.0,66870.0,38.6,3.53
39,85054,35.31,618100.0,89099.0,64.69,16.14
40,85083,92.89,572600.0,157437.0,7.11,1.34
41,85085,60.34,589000.0,122138.0,39.66,7.86
42,85086,84.78,554100.0,118543.0,15.22,7.45
43,85087,94.23,510800.0,120688.0,5.77,3.58
44,85201,38.96,292600.0,63725.0,61.04,8.57
45,85202,50.32,334200.0,66582.0,49.68,7.81
46,85203,56.62,388300.0,72851.0,43.38,6.38
47,85204,57.89,296000.0,69474.0,42.11,6.03
48,85205,72.1,301200.0,71294.0,27.9,16.39
49,85206,63.9,322600.0,69986.0,36.1,14.88
50,85207,82.28,460800.0,99439.0,17.72,14.32
51,85208,79.69,261200.0,68452.0,20.31,18.3
52,85209,73.85,363800.0,80498.0,26.15,18.69
53,85210,46.61,301600.0,59680.0,53.39,6.61
54,85212,84.68,530700.0,123404.0,15.32,4.69
55,85213,77.44,407600.0,100671.0,22.56,14.38
56,85215,80.09,398400.0,90310.0,19.91,17.23
57,85224,53.83,391000.0,90886.0,46.17,6.72
58,85225,61.03,386800.0,86036.0,38.97,5.05
59,85226,61.75,452400.0,103740.0,38.25,4.83
60,85233,71.53,468600.0,105154.0,28.47,2.39
61,85234,75.1,488600.0,118012.0,24.9,3.88
63,85248,79.52,489100.0,94220.0,20.48,11.42
64,85249,89.4,610800.0,150985.0,10.6,4.0
65,85250,79.38,507500.0,89133.0,20.62,18.19
66,85251,49.22,500700.0,89151.0,50.78,17.82
67,85253,84.39,2000001.0,182150.0,15.61,16.45
68,85254,72.92,701900.0,120885.0,27.08,10.21
69,85255,73.07,975300.0,143567.0,26.93,14.85
70,85256,84.62,132400.0,51469.0,15.38,10.63
71,85257,63.14,453200.0,79828.0,36.86,10.5
72,85258,73.75,744600.0,105171.0,26.25,17.78
73,85259,77.47,956300.0,145574.0,22.53,11.85
74,85260,59.96,637000.0,103854.0,40.04,9.53
75,85262,97.3,1178600.0,173795.0,2.7,25.15
76,85263,96.89,775800.0,137200.0,3.11,28.52
77,85264,91.27,389600.0,58333.0,8.73,5.14
78,85266,96.75,1026900.0,157137.0,3.25,13.11
79,85268,83.42,576700.0,105288.0,16.58,16.96
80,85281,23.82,364200.0,59084.0,76.18,12.41
81,85282,45.8,370000.0,79084.0,54.2,7.93
82,85283,48.66,409800.0,81073.0,51.34,7.16
83,85284,81.64,646300.0,154663.0,18.36,2.95
84,85286,66.83,548900.0,118759.0,33.17,3.23
85,85295,64.06,527400.0,116288.0,35.94,2.57
86,85296,70.67,496200.0,117120.0,29.33,4.58
87,85297,78.15,559200.0,132684.0,21.85,3.55
88,85298,91.58,598300.0,146688.0,8.42,4.01
89,85301,39.4,218100.0,47422.0,60.6,5.85
90,85302,51.6,326600.0,62516.0,48.4,5.33
91,85303,62.25,286800.0,75077.0,37.75,3.71
92,85304,80.52,345400.0,82976.0,19.48,4.44
93,85305,58.87,410100.0,99565.0,41.13,8.06
94,85306,66.83,342000.0,82060.0,33.17,7.35
95,85307,46.29,368700.0,78540.0,53.71,4.3
96,85308,71.85,420100.0,95512.0,28.15,3.19
98,85310,89.97,489400.0,117095.0,10.03,2.88
99,85320,94.26,397500.0,40208.0,5.74,33.7
100,85322,95.81,237200.0,74125.0,4.19,14.73
101,85323,61.04,335000.0,79903.0,38.96,5.23
