"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Rental Occupancy Rate","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","phhro","TimeFrame","GeoVintage","Source","Location"
"Zip Code Tabulation Area","85003","AZ","85003","=""85003""","70.13","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85004","AZ","85004","=""85004""","76.44","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85006","AZ","85006","=""85006""","60.49","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85007","AZ","85007","=""85007""","55.81","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85008","AZ","85008","=""85008""","69.23","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85009","AZ","85009","=""85009""","49.30","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85012","AZ","85012","=""85012""","60.96","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85013","AZ","85013","=""85013""","57.52","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85014","AZ","85014","=""85014""","59.36","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85015","AZ","85015","=""85015""","66.94","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85016","AZ","85016","=""85016""","48.99","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85017","AZ","85017","=""85017""","55.54","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85018","AZ","85018","=""85018""","45.26","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85019","AZ","85019","=""85019""","47.90","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85020","AZ","85020","=""85020""","45.90","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85021","AZ","85021","=""85021""","61.69","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85022","AZ","85022","=""85022""","48.95","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85023","AZ","85023","=""85023""","42.72","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85024","AZ","85024","=""85024""","34.98","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85026","AZ","85026","=""85026""","N/A","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85027","AZ","85027","=""85027""","45.05","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85028","AZ","85028","=""85028""","15.43","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85029","AZ","85029","=""85029""","45.46","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85031","AZ","85031","=""85031""","35.24","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85032","AZ","85032","=""85032""","42.05","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85033","AZ","85033","=""85033""","43.32","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85034","AZ","85034","=""85034""","77.40","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85035","AZ","85035","=""85035""","53.63","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85037","AZ","85037","=""85037""","39.62","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85040","AZ","85040","=""85040""","52.44","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85041","AZ","85041","=""85041""","26.60","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85042","AZ","85042","=""85042""","33.34","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85043","AZ","85043","=""85043""","34.94","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85044","AZ","85044","=""85044""","37.66","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85045","AZ","85045","=""85045""","10.02","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85048","AZ","85048","=""85048""","25.71","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85050","AZ","85050","=""85050""","20.52","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85051","AZ","85051","=""85051""","45.39","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85053","AZ","85053","=""85053""","38.60","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85054","AZ","85054","=""85054""","64.69","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85083","AZ","85083","=""85083""","7.11","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85085","AZ","85085","=""85085""","39.66","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85086","AZ","85086","=""85086""","15.22","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85087","AZ","85087","=""85087""","5.77","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85201","AZ","85201","=""85201""","61.04","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85202","AZ","85202","=""85202""","49.68","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85203","AZ","85203","=""85203""","43.38","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85204","AZ","85204","=""85204""","42.11","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85205","AZ","85205","=""85205""","27.90","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85206","AZ","85206","=""85206""","36.10","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85207","AZ","85207","=""85207""","17.72","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85208","AZ","85208","=""85208""","20.31","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85209","AZ","85209","=""85209""","26.15","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85210","AZ","85210","=""85210""","53.39","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85212","AZ","85212","=""85212""","15.32","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85213","AZ","85213","=""85213""","22.56","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85215","AZ","85215","=""85215""","19.91","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85224","AZ","85224","=""85224""","46.17","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85225","AZ","85225","=""85225""","38.97","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85226","AZ","85226","=""85226""","38.25","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85233","AZ","85233","=""85233""","28.47","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85234","AZ","85234","=""85234""","24.90","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85236","AZ","85236","=""85236""","N/A","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85248","AZ","85248","=""85248""","20.48","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85249","AZ","85249","=""85249""","10.60","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85250","AZ","85250","=""85250""","20.62","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85251","AZ","85251","=""85251""","50.78","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85253","AZ","85253","=""85253""","15.61","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85254","AZ","85254","=""85254""","27.08","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85255","AZ","85255","=""85255""","26.93","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85256","AZ","85256","=""85256""","15.38","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85257","AZ","85257","=""85257""","36.86","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85258","AZ","85258","=""85258""","26.25","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85259","AZ","85259","=""85259""","22.53","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85260","AZ","85260","=""85260""","40.04","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85262","AZ","85262","=""85262""","2.70","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85263","AZ","85263","=""85263""","3.11","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85264","AZ","85264","=""85264""","8.73","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85266","AZ","85266","=""85266""","3.25","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85268","AZ","85268","=""85268""","16.58","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85281","AZ","85281","=""85281""","76.18","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85282","AZ","85282","=""85282""","54.20","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85283","AZ","85283","=""85283""","51.34","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85284","AZ","85284","=""85284""","18.36","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85286","AZ","85286","=""85286""","33.17","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85295","AZ","85295","=""85295""","35.94","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85296","AZ","85296","=""85296""","29.33","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85297","AZ","85297","=""85297""","21.85","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85298","AZ","85298","=""85298""","8.42","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85301","AZ","85301","=""85301""","60.60","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85302","AZ","85302","=""85302""","48.40","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85303","AZ","85303","=""85303""","37.75","2019-2023","2020","Census","Maricopa (County, 2022)"
